id,estado,estado-slug,municipio,municipio-slug,poblacion,latitud,longitud,fecha,c-negativos,c-sospechosos,c-confirmados,c-defunciones,c-recuperados,d-negativos,d-sospechosos,d-confirmados,d-defunciones,d-recuperados,sospechosos-tasa-100k,confirmados-tasa-100k,activos,tasa-mortalidad
92,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-16,406,325,292,38,0,10,100,12,6,0,19.80,17.79,254,13.01%
93,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-16,23,16,5,0,0,0,1,1,0,0,16.54,5.17,5,0.00%
94,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-16,148,23,5,1,0,5,-1,0,0,0,4.73,1.03,4,20.00%
95,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-16,24,17,18,3,0,1,1,1,0,0,16.60,17.58,15,16.67%
96,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-16,16,0,2,1,0,2,-2,0,0,0,0.00,41.87,1,50.00%
97,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-17,369,152,236,25,0,13,30,20,3,0,15.38,23.88,211,10.59%
98,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-17,407,388,298,42,0,1,63,6,4,0,23.64,18.15,256,14.09%
99,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-17,23,16,5,0,0,0,0,0,0,0,16.54,5.17,5,0.00%
100,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-17,149,25,5,1,0,1,2,0,0,0,5.14,1.03,4,20.00%
101,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-17,24,28,19,3,0,0,11,1,0,0,27.34,18.55,16,15.79%
102,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-17,16,0,2,1,0,0,0,0,0,0,0.00,41.87,1,50.00%
103,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-18,371,232,242,26,0,2,80,6,1,0,23.47,24.48,216,10.74%
104,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-18,404,391,374,49,0,-3,3,76,7,0,23.82,22.78,325,13.10%
105,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-18,23,13,10,1,0,0,-3,5,1,0,13.44,10.34,9,10.00%
106,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-18,149,37,5,1,0,0,12,0,0,0,7.60,1.03,4,20.00%
107,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-18,24,37,19,3,0,0,9,0,0,0,36.13,18.55,16,15.79%
108,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-18,16,0,2,1,0,0,0,0,0,0,0.00,41.87,1,50.00%
109,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-19,372,324,246,26,0,1,92,4,0,0,32.78,24.89,220,10.57%
110,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-19,438,268,439,51,0,34,-123,65,2,0,16.33,26.74,388,11.62%
111,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-19,23,13,10,1,0,0,0,0,0,0,13.44,10.34,9,10.00%
112,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-19,150,31,9,1,0,1,-6,4,0,0,6.37,1.85,8,11.11%
113,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-19,24,40,19,3,0,0,3,0,0,0,39.06,18.55,16,15.79%
114,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-19,16,0,2,1,0,0,0,0,0,0,0.00,41.87,1,50.00%
115,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-20,394,246,270,26,0,22,-78,24,0,0,24.89,27.32,244,9.63%
116,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-20,450,296,471,51,0,12,28,32,0,0,18.03,28.69,420,10.83%
117,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-20,23,12,11,1,0,0,-1,1,0,0,12.41,11.37,10,9.09%
118,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-20,158,26,12,1,0,8,-5,3,0,0,5.34,2.47,11,8.33%
119,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-20,25,39,20,3,0,1,-1,1,0,0,38.08,19.53,17,15.00%
120,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-20,16,0,2,1,0,0,0,0,0,0,0.00,41.87,1,50.00%
121,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-21,421,194,295,27,0,27,-52,25,1,0,19.63,29.85,268,9.15%
122,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-21,481,246,510,60,0,31,-50,39,9,0,14.99,31.07,450,11.76%
123,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-21,23,13,11,2,0,0,1,0,1,0,13.44,11.37,9,18.18%
124,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-21,167,17,12,3,0,9,-9,0,2,0,3.49,2.47,9,25.00%
125,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-21,25,40,22,3,0,0,1,2,0,0,39.06,21.48,19,13.64%
126,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-21,16,0,2,1,0,0,0,0,0,0,0.00,41.87,1,50.00%
127,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-22,421,157,364,36,29,0,-37,69,9,29,15.88,36.83,299,9.89%
128,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-22,481,252,557,86,24,0,6,47,26,24,15.35,33.93,447,15.44%
129,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-22,23,13,11,2,0,0,0,0,0,0,13.44,11.37,9,18.18%
130,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-22,167,21,14,4,1,0,4,2,1,1,4.32,2.88,9,28.57%
131,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-22,25,43,26,4,0,0,3,4,1,0,41.99,25.39,22,15.38%
132,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-22,16,0,3,1,0,0,0,1,0,0,0.00,62.80,2,33.33%
133,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-23,500,137,393,36,31,27,-20,29,0,2,13.86,39.76,326,9.16%
134,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-23,500,307,588,89,25,3,55,31,3,1,18.70,35.82,474,15.14%
135,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-23,23,12,11,2,0,0,-1,0,0,0,12.41,11.37,9,18.18%
136,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-23,173,17,17,4,1,6,-4,3,0,0,3.49,3.49,12,23.53%
137,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-23,32,43,26,4,0,3,0,0,0,0,41.99,25.39,22,15.38%
138,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-23,15,0,4,1,0,-1,0,1,0,0,0.00,83.73,3,25.00%
139,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-24,500,187,413,39,35,0,50,20,3,4,18.92,41.78,339,9.44%
140,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-24,500,261,660,110,26,0,-46,72,21,1,15.90,40.21,524,16.67%
141,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-24,23,12,12,3,0,0,0,1,1,0,12.41,12.41,9,25.00%
142,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-24,173,11,25,5,1,0,-6,8,1,0,2.26,5.14,19,20.00%
143,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-24,32,34,47,5,0,0,-9,21,1,0,33.20,45.90,42,10.64%
144,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-24,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3,25.00%
145,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-25,535,187,420,40,53,19,0,7,1,18,18.92,42.49,327,9.52%
146,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-25,521,214,700,117,77,11,-47,40,7,51,13.04,42.64,506,16.71%
147,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-25,23,11,15,3,0,0,-1,3,0,0,11.37,15.51,12,20.00%
148,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-25,191,15,27,5,1,18,4,2,0,0,3.08,5.55,21,18.52%
149,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-25,35,39,49,5,1,3,5,2,0,1,38.08,47.85,43,10.20%
150,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-25,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3,25.00%
151,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-26,562,179,471,40,53,27,-8,51,0,0,18.11,47.65,378,8.49%
152,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-26,536,257,737,120,77,15,43,37,3,0,15.66,44.90,540,16.28%
153,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-26,23,4,15,3,0,0,-7,0,0,0,4.14,15.51,12,20.00%
154,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-26,202,23,30,5,1,11,8,3,0,0,4.73,6.16,24,16.67%
155,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-26,35,37,51,5,1,0,-2,2,0,0,36.13,49.80,45,9.80%
156,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-26,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3,25.00%
157,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-27,576,147,508,40,58,14,-32,37,0,5,14.87,51.40,410,7.87%
158,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-27,536,263,737,123,86,0,6,0,3,9,16.02,44.90,528,16.69%
159,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-27,23,5,15,3,0,0,1,0,0,0,5.17,15.51,12,20.00%
160,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-27,202,39,30,5,1,0,16,0,0,0,8.01,6.16,24,16.67%
161,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-27,35,37,51,5,8,0,0,0,0,7,36.13,49.80,38,9.80%
162,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-27,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3,25.00%
163,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-28,584,131,529,45,67,8,-16,21,5,9,13.25,53.52,417,8.51%
164,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-28,540,229,765,130,91,4,-34,28,7,5,13.95,46.60,544,16.99%
165,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-28,23,7,15,3,0,0,2,0,0,0,7.24,15.51,12,20.00%
166,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-28,202,60,31,6,1,0,21,1,1,0,12.33,6.37,24,19.35%
167,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-28,35,37,53,5,8,0,0,2,0,0,36.13,51.75,40,9.43%
168,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-28,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3,25.00%
169,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-29,594,188,564,48,69,10,57,35,3,2,19.02,57.06,447,8.51%
170,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-29,582,314,831,142,96,42,85,66,12,21,19.13,50.62,593,17.09%
171,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-29,23,7,15,3,0,0,0,0,0,0,7.24,15.51,12,20.00%
172,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-29,203,39,33,6,2,1,-21,2,0,0,8.01,6.78,25,18.18%
173,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-29,38,47,63,5,9,3,10,10,0,0,45.90,61.52,49,7.94%
174,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-29,15,0,5,1,0,0,0,1,0,0,0.00,104.67,4,20.00%
175,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-30,602,191,589,55,78,8,3,25,7,9,19.32,59.59,456,9.34%
176,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-30,587,310,859,153,117,5,-4,28,11,21,18.88,52.33,589,17.81%
177,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-30,22,3,17,3,0,-1,-4,2,0,0,3.10,17.57,14,17.65%
178,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-30,212,36,40,6,2,9,-3,7,0,0,7.40,8.22,32,15.00%
179,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-30,39,52,67,5,9,1,5,4,0,0,50.78,65.43,53,7.46%
180,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-30,17,0,5,1,0,2,0,0,0,0,0.00,104.67,4,20.00%
